"","Year","state","total_sum"
"396","2005","Georgia",257815
"397","2005","Guam",408
"398","2005","Hawaii",7575
"399","2005","Idaho",80343
"400","2005","Illinois",527134
"401","2005","Indiana",172249
"402","2005","Iowa",100344
"403","2005","Kansas",98311
"404","2005","Kentucky",232589
"405","2005","Louisiana",207954
"406","2005","Maine",50319
"407","2005","Mariana Islands",0
"408","2005","Maryland",80947
"409","2005","Massachusetts",105347
"410","2005","Michigan",337035
"411","2005","Minnesota",224165
"412","2005","Mississippi",167713
"413","2005","Missouri",214241
"414","2005","Montana",84060
"415","2005","Nebraska",48172
"416","2005","Nevada",62727
"417","2005","New Hampshire",55761
"418","2005","New Jersey",36582
"419","2005","New Mexico",82051
"420","2005","New York",158781
"421","2005","North Carolina",271527
"422","2005","North Dakota",36000
"423","2005","Ohio",313159
"424","2005","Oklahoma",182031
"425","2005","Oregon",158045
"426","2005","Pennsylvania",482977
"427","2005","Puerto Rico",8988
"428","2005","Rhode Island",9649
"429","2005","South Carolina",141811
"430","2005","South Dakota",50768
"431","2005","Tennessee",253450
"432","2005","Texas",738793
"433","2005","Utah",88981
"434","2005","Vermont",18607
"435","2005","Virgin Islands",40
"436","2005","Virginia",221725
"437","2005","Washington",219559
"438","2005","West Virginia",133667
"439","2005","Wisconsin",183013
"440","2005","Wyoming",37911
"441","2006","Alabama",243176
"442","2006","Alaska",47037
"443","2006","Arizona",204178
"444","2006","Arkansas",170129
"445","2006","California",617820
"446","2006","Colorado",214749
"447","2006","Connecticut",97616
"448","2006","Delaware",16698
"449","2006","District of Columbia",252
"450","2006","Florida",411728
"451","2006","Georgia",311901
"452","2006","Guam",348
"453","2006","Hawaii",7588
"454","2006","Idaho",91018
"455","2006","Illinois",527698
"456","2006","Indiana",185655
"457","2006","Iowa",101430
"458","2006","Kansas",109143
"459","2006","Kentucky",791599
"460","2006","Louisiana",212176
"461","2006","Maine",53106
"462","2006","Mariana Islands",26
"463","2006","Maryland",82207
"464","2006","Massachusetts",137148
"465","2006","Michigan",332428
"466","2006","Minnesota",244712
"467","2006","Mississippi",179087
"468","2006","Missouri",230374
"469","2006","Montana",87770
"470","2006","Nebraska",51221
"471","2006","Nevada",72963
"472","2006","New Hampshire",63159
"473","2006","New Jersey",37318
"474","2006","New Mexico",90321
"475","2006","New York",199015
"476","2006","North Carolina",290024
"477","2006","North Dakota",39436
"478","2006","Ohio",325132
"479","2006","Oklahoma",190741
"480","2006","Oregon",163705
"481","2006","Pennsylvania",520454
"482","2006","Puerto Rico",8473
"483","2006","Rhode Island",9936
"484","2006","South Carolina",148604
"485","2006","South Dakota",52675
"486","2006","Tennessee",258500
"487","2006","Texas",770236
"488","2006","Utah",106653
"489","2006","Vermont",20713
"490","2006","Virgin Islands",1203
"491","2006","Virginia",238862
"492","2006","Washington",255387
"493","2006","West Virginia",137925
"494","2006","Wisconsin",189228
"495","2006","Wyoming",42376
"496","2007","Alabama",245355
"497","2007","Alaska",49604
"498","2007","Arizona",192071
"499","2007","Arkansas",169824
"500","2007","California",855943
"501","2007","Colorado",221737
"502","2007","Connecticut",116112
"503","2007","Delaware",15912
"504","2007","District of Columbia",136
"505","2007","Florida",426180
"506","2007","Georgia",270468
"507","2007","Guam",441
"508","2007","Hawaii",6521
"509","2007","Idaho",93897
"510","2007","Illinois",536975
"511","2007","Indiana",186864
"512","2007","Iowa",98888
"513","2007","Kansas",111502
"514","2007","Kentucky",1587850
"515","2007","Louisiana",208201
"516","2007","Maine",51279
"517","2007","Mariana Islands",11
"518","2007","Maryland",80249
"519","2007","Massachusetts",165446
"520","2007","Michigan",311851
"521","2007","Minnesota",248086
"522","2007","Mississippi",175298
"523","2007","Missouri",274085
"524","2007","Montana",90355
"525","2007","Nebraska",52042
"526","2007","Nevada",70276
"527","2007","New Hampshire",65110
"528","2007","New Jersey",36412
"529","2007","New Mexico",93304
"530","2007","New York",212174
"531","2007","North Carolina",289215
"532","2007","North Dakota",42311
"533","2007","Ohio",326114
"534","2007","Oklahoma",189081
"535","2007","Oregon",162629
"536","2007","Pennsylvania",562603
"537","2007","Puerto Rico",8225
"538","2007","Rhode Island",10222
"539","2007","South Carolina",150133
"540","2007","South Dakota",54013
"541","2007","Tennessee",241741
"542","2007","Texas",783596
"543","2007","Utah",127051
"544","2007","Vermont",19951
"545","2007","Virgin Islands",1461
"546","2007","Virginia",241538
"547","2007","Washington",276156
"548","2007","West Virginia",132396
"549","2007","Wisconsin",180607
"550","2007","Wyoming",42770
"551","2008","Alabama",299432
"552","2008","Alaska",61729
"553","2008","Arizona",208721
"554","2008","Arkansas",191799
"555","2008","California",780398
"556","2008","Colorado",285521
"557","2008","Connecticut",155885
"558","2008","Delaware",18102
"559","2008","District of Columbia",259
"560","2008","Florida",503672
"561","2008","Georgia",367374
"562","2008","Guam",447
"563","2008","Hawaii",8569
"564","2008","Idaho",100457
"565","2008","Illinois",615941
"566","2008","Indiana",219900
"567","2008","Iowa",108330
"568","2008","Kansas",126084
"569","2008","Kentucky",1881101
"570","2008","Louisiana",248355
"571","2008","Maine",56561
"572","2008","Mariana Islands",0
"573","2008","Maryland",89583
"574","2008","Massachusetts",119859
"575","2008","Michigan",357335
"576","2008","Minnesota",277175
"577","2008","Mississippi",181068
"578","2008","Missouri",321487
"579","2008","Montana",97599
"580","2008","Nebraska",56589
"581","2008","Nevada",95252
"582","2008","New Hampshire",67293
"583","2008","New Jersey",40525
"584","2008","New Mexico",106131
"585","2008","New York",221920
"586","2008","North Carolina",347473
"587","2008","North Dakota",46832
"588","2008","Ohio",350014
"589","2008","Oklahoma",221612
"590","2008","Oregon",179887
"591","2008","Pennsylvania",598544
"592","2008","Puerto Rico",6503
"593","2008","Rhode Island",12405
"594","2008","South Carolina",184941
"595","2008","South Dakota",62489
"596","2008","Tennessee",282819
"597","2008","Texas",944568
"598","2008","Utah",181592
"599","2008","Vermont",21991
"600","2008","Virgin Islands",1536
"601","2008","Virginia",278974
"602","2008","Washington",316589
"603","2008","West Virginia",147689
"604","2008","Wisconsin",186819
"605","2008","Wyoming",49255
"606","2009","Alabama",317868
"607","2009","Alaska",60780
"608","2009","Arizona",215379
"609","2009","Arkansas",209842
"610","2009","California",788164
"611","2009","Colorado",313641
"612","2009","Connecticut",202454
"613","2009","Delaware",20530
"614","2009","District of Columbia",369
"615","2009","Florida",556540
"616","2009","Georgia",373237
"617","2009","Guam",510
"618","2009","Hawaii",10511
"619","2009","Idaho",99243
"620","2009","Illinois",752071
"621","2009","Indiana",273803
"622","2009","Iowa",120233
"623","2009","Kansas",142984
"624","2009","Kentucky",2189578
"625","2009","Louisiana",247084
"626","2009","Maine",60955
"627","2009","Mariana Islands",0
"628","2009","Maryland",95191
"629","2009","Massachusetts",98864
"630","2009","Michigan",362172
"631","2009","Minnesota",285130
"632","2009","Mississippi",167057
"633","2009","Missouri",355678
"634","2009","Montana",101976
"635","2009","Nebraska",59328
"636","2009","Nevada",107343
"637","2009","New Hampshire",76102
"638","2009","New Jersey",55533
"639","2009","New Mexico",106854
"640","2009","New York",241165
"641","2009","North Carolina",368460
"642","2009","North Dakota",47962
"643","2009","Ohio",395580
"644","2009","Oklahoma",234562
"645","2009","Oregon",185043
"646","2009","Pennsylvania",641696
"647","2009","Puerto Rico",7992
"648","2009","Rhode Island",14799
"649","2009","South Carolina",214584
"650","2009","South Dakota",63748
"651","2009","Tennessee",408991
"652","2009","Texas",1014015
"653","2009","Utah",256136
"654","2009","Vermont",23085
"655","2009","Virgin Islands",1759
"656","2009","Virginia",296463
"657","2009","Washington",336732
"658","2009","West Virginia",156831
"659","2009","Wisconsin",196951
"660","2009","Wyoming",51395
"661","2010","Alabama",308607
"662","2010","Alaska",65909
"663","2010","Arizona",206050
"664","2010","Arkansas",191448
"665","2010","California",816399
"666","2010","Colorado",300820
"667","2010","Connecticut",179595
"668","2010","Delaware",19240
"669","2010","District of Columbia",349
"670","2010","Florida",559347
"671","2010","Georgia",333247
"672","2010","Guam",542
"673","2010","Hawaii",10533
"674","2010","Idaho",92031
"675","2010","Illinois",695300
"676","2010","Indiana",345650
"677","2010","Iowa",124738
"678","2010","Kansas",144156
"679","2010","Kentucky",2385579
"680","2010","Louisiana",239204
"681","2010","Maine",65988
"682","2010","Mariana Islands",0
"683","2010","Maryland",88162
"684","2010","Massachusetts",115904
"685","2010","Michigan",348200
"686","2010","Minnesota",297390
"687","2010","Mississippi",169873
"688","2010","Missouri",349672
"689","2010","Montana",101095
"690","2010","Nebraska",58283
"691","2010","Nevada",104789
"692","2010","New Hampshire",79940
"693","2010","New Jersey",50522
"694","2010","New Mexico",109069
"695","2010","New York",241495
"696","2010","North Carolina",331637
"697","2010","North Dakota",47083
"698","2010","Ohio",393250
"699","2010","Oklahoma",233909
"700","2010","Oregon",184835
"701","2010","Pennsylvania",626677
"702","2010","Puerto Rico",8078
"703","2010","Rhode Island",14835
"704","2010","South Carolina",201628
"705","2010","South Dakota",63151
"706","2010","Tennessee",411024
"707","2010","Texas",968071
"708","2010","Utah",553134
"709","2010","Vermont",24276
"710","2010","Virgin Islands",1594
"711","2010","Virginia",320783
"712","2010","Washington",335342
"713","2010","West Virginia",159550
"714","2010","Wisconsin",194797
"715","2010","Wyoming",47709
"716","2011","Alabama",336102
"717","2011","Alaska",70198
"718","2011","Arizona",251477
"719","2011","Arkansas",206228
"720","2011","California",905701
"721","2011","Colorado",336296
"722","2011","Connecticut",186068
"723","2011","Delaware",22490
"724","2011","District of Columbia",300
"725","2011","Florida",643229
"726","2011","Georgia",367894
"727","2011","Guam",511
"728","2011","Hawaii",12635
"729","2011","Idaho",106616
"730","2011","Illinois",828962
"731","2011","Indiana",359840
"732","2011","Iowa",179944
"733","2011","Kansas",164898
"734","2011","Kentucky",2280832
"735","2011","Louisiana",264552
"736","2011","Maine",73127
"737","2011","Mariana Islands",1
"738","2011","Maryland",103020
"739","2011","Massachusetts",153487
"740","2011","Michigan",356635
"741","2011","Minnesota",337534
"742","2011","Mississippi",185059
"743","2011","Missouri",394923
"744","2011","Montana",108974
"745","2011","Nebraska",65860
"746","2011","Nevada",118740
"747","2011","New Hampshire",90984
"748","2011","New Jersey",60256
"749","2011","New Mexico",115620
"750","2011","New York",271837
"751","2011","North Carolina",375211
"752","2011","North Dakota",61032
"753","2011","Ohio",468974
"754","2011","Oklahoma",271816
"755","2011","Oregon",209781
"756","2011","Pennsylvania",718934
"757","2011","Puerto Rico",11525
"758","2011","Rhode Island",17271
"759","2011","South Carolina",229419
"760","2011","South Dakota",69654
"761","2011","Tennessee",451107
"762","2011","Texas",1155387
"763","2011","Utah",1020789
"764","2011","Vermont",27292
"765","2011","Virgin Islands",1356
"766","2011","Virginia",331468
"767","2011","Washington",394410
